oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF22aaokebo,73.48894095001742,-5.026464431482118e+40,2.839516228343397e+42,0.2423180606296088,7.214579670330952e+50,24,75.0259606000036
ZTF22aakaygk,62.50765045010485,-9.274464564013202e+40,1.6210815820428498e+42,0.14955696603957971,1.7660836574739837e+50,36,108.88753470033407
ZTF22aajlsrh,66.36388310021721,-7.836846364319625e+39,4.567924878335641e+42,0.3902792625385448,1.416284656706148e+51,27,129.7668750002049
ZTF22aahibvx,61.324369200039655,-4.515002458514369e+41,5.8194786056244404e+41,0.14019012728534896,1.9135107440089604e+49,47,72.77179400017485
ZTF22aahhgfx,62.82566544995643,2.6367717424808586e+40,-2.8246713135681414e+41,0.0032286280901845637,,22,68.81605320004746
ZTF22aafsqud,84.89375585038215,-2.376223684902461e+40,9.355712739805517e+41,0.10060978619740324,1.1492461592801487e+50,30,85.8951505003497
ZTF19abkxeft,71.55792824993841,-1.3705606567501382e+40,1.8089024396737146e+42,0.21023364154342916,2.695631256426491e+50,17,81.99840279994532
ZTF18aaqkywr,61.76440389966592,1.207881768902013e+43,1.0728699243193555e+42,0.13741275896744318,7.267770778770611e+49,32,79.7684374996461
ZTF22aaagrqi,84.67056135018356,-2.1734008972451936e+40,-5.037177193027427e+43,-0.6514354287559085,,15,230.2723148004152
ZTF22aaafpbi,75.44614579970948,-4.299401506074239e+40,1.2147231248745747e+42,0.06966765102154827,1.7440045006727207e+50,13,78.9478587997146
ZTF22aaaehzu,105.89141790010035,-1.1931674350442404e+40,6.103829883950697e+41,0.030349529459343664,1.019659824277848e+50,31,161.84480330022052
ZTF22aaaepmu,77.80342590017244,-1.0878882506848152e+40,1.3612689171982343e+42,0.1352774701622606,1.972635070157685e+50,15,78.77820600010455
ZTF21acpuooz,87.83348384965211,-1.28591606309019e+40,-5.568331419466623e+42,0.13238496239024047,,5,88.83408569963649
ZTF21achakto,115.81124425004236,-3.047321034815584e+39,3.484275571596274e+42,0.7416082808064965,2.1189052315611668e+51,10,116.89648150000721
ZTF21abzciqh,76.77014469983988,2.2418664836304334e+42,7.242344331094194e+42,76.2917571949272,1.179950925735634e+51,23,85.77407409995794
ZTF21abvcxid,65.84013310004957,6.146001946699161e+40,1.1524897155319074e+42,7.899591036372416,3.115524461755674e+49,20,83.83997680014
ZTF21abvbdyr,71.418628399726,-3.516016293720077e+40,1.0702107856843458e+42,0.05016183058522746,1.2987196718138917e+50,13,72.87577539961785
ZTF21abptxfk,69.36884835013188,1.7348878806528267e+41,5.453237923075484e+42,2.2485303755793793,1.3921211611089356e+51,27,74.86123839998618
ZTF21abouxex,103.89814815018326,-1.329012102603841e+44,1.079014663297634e+42,2680.5082412996735,1.3733108888519432e+49,266,1645.7450116002
ZTF21abkoccb,87.85544559988193,-1.01655946287034e+41,6.472468172947254e+42,2.054142306303571,3.3811307869240245e+51,30,88.85864580003545
ZTF21abkggoa,104.73789929994382,-4.015426518773947e+40,2.511251694810748e+42,0.12466762806094403,1.4002009759715846e+51,18,110.76057869987562
ZTF21abiblpl,61.861695599975064,4.069601398778058e+38,1.0825493511071494e+42,0.14632503487563175,7.304112857503899e+49,28,97.80668979976326
ZTF21abczimc,75.37852430017665,-2.2336418143257553e+40,1.8689846364393837e+42,0.14601727376000223,3.5702672100616655e+50,20,88.85499999998137
ZTF21abcjpnm,64.9251967498567,-7.536933081879693e+45,2.8214964660767414e+42,97.93292706032746,1.0231188820643497e+50,48,142.82638889970258
ZTF21abbvvmf,148.73888309998438,5.95466591475239e+41,1.0613903227996939e+44,0.24377432956779976,7.512124841573307e+54,15,197.2115046000108
ZTF21abbomrf,61.98212965019047,-6.528059586931729e+39,4.083902794310702e+41,0.05118171726489769,1.212458916586225e+49,33,89.94862270029262
ZTF21aazybsh,62.92603589990176,-7.520483230056042e+40,2.347262570969132e+42,0.20128008421292687,3.649694901715081e+50,25,63.851701399777085
